fecha,Chuvia,refacho_max,Temperatura_med
2015-01-13 00:00:00.0,27.2,63.60,9.70
2015-01-14 00:00:00.0,5.2,72.80,8.90
2015-01-15 00:00:00.0,44.0,88.10,8.40
2015-01-16 00:00:00.0,2.2,40.10,5.30
2015-01-17 00:00:00.0,4.2,52.30,5.20
2015-01-18 00:00:00.0,10.4,72.30,6.30
2015-01-19 00:00:00.0,4.0,37.90,6.00
2015-01-20 00:00:00.0,9.9,43.90,5.80
2015-01-21 00:00:00.0,11.4,67.90,6.10
2015-01-22 00:00:00.0,5.3,51.70,7.70
2015-01-23 00:00:00.0,0.6,15.20,8.90
2015-01-24 00:00:00.0,1.3,31.60,10.20
2015-01-25 00:00:00.0,0.0,30.80,8.20
2015-01-26 00:00:00.0,0.0,43.10,6.40
2015-01-27 00:00:00.0,0.0,31.20,9.20
2015-01-28 00:00:00.0,1.4,28.20,8.00
2015-01-29 00:00:00.0,13.2,46.10,10.50
2015-01-30 00:00:00.0,23.4,71.00,11.40
2015-01-31 00:00:00.0,7.9,62.50,6.30
2015-02-01 00:00:00.0,5.6,40.90,4.90
2015-02-02 00:00:00.0,11.8,47.60,8.10
2015-02-03 00:00:00.0,12.8,65.60,5.90
2015-02-04 00:00:00.0,5.5,64.30,3.10
2015-02-05 00:00:00.0,0.3,42.00,3.60
2015-02-06 00:00:00.0,6.2,50.90,3.60
2015-02-07 00:00:00.0,0.0,46.80,4.60
2015-02-08 00:00:00.0,0.0,63.90,5.50
2015-02-09 00:00:00.0,0.0,59.10,8.10
2015-02-10 00:00:00.0,0.0,26.70,7.20
2015-02-11 00:00:00.0,0.0,20.40,6.40
2015-02-12 00:00:00.0,4.1,32.50,7.60
2015-02-13 00:00:00.0,6.9,51.80,8.50
2015-02-14 00:00:00.0,11.1,51.70,9.60
2015-02-15 00:00:00.0,2.9,40.50,9.40
2015-02-16 00:00:00.0,6.9,54.60,8.00
2015-02-17 00:00:00.0,0.4,58.80,7.10
2015-02-18 00:00:00.0,0.0,45.20,7.20
2015-02-19 00:00:00.0,0.0,20.40,6.30
2015-02-20 00:00:00.0,9.9,46.80,9.20
2015-02-21 00:00:00.0,0.3,45.00,8.30
2015-02-22 00:00:00.0,1.3,33.40,8.30
2015-02-23 00:00:00.0,7.9,64.60,8.80
2015-02-24 00:00:00.0,4.6,43.80,7.20
2015-02-25 00:00:00.0,1.2,29.60,9.60
2015-02-26 00:00:00.0,5.5,30.40,9.90
2015-02-27 00:00:00.0,0.0,26.30,8.50
2015-02-28 00:00:00.0,5.1,34.20,10.50
2015-03-01 00:00:00.0,4.5,52.40,11.90
2015-03-02 00:00:00.0,11.2,42.00,11.80
2015-03-03 00:00:00.0,25.8,48.00,9.60
2015-03-04 00:00:00.0,0.0,48.00,8.10
2015-03-05 00:00:00.0,0.0,39.70,9.60
2015-03-06 00:00:00.0,0.0,31.20,10.90
2015-03-07 00:00:00.0,0.0,26.40,12.40
2015-03-08 00:00:00.0,0.0,44.60,10.90
2015-03-09 00:00:00.0,0.0,39.40,11.40
2015-03-10 00:00:00.0,0.0,28.50,10.70
2015-03-11 00:00:00.0,0.0,23.80,10.60
2015-03-12 00:00:00.0,1.5,32.30,9.70
2015-03-13 00:00:00.0,0.0,52.40,8.10
2015-03-14 00:00:00.0,0.0,45.70,7.40
2015-03-15 00:00:00.0,0.0,46.30,6.90
2015-03-16 00:00:00.0,0.0,39.00,8.10
2015-03-17 00:00:00.0,0.0,40.10,9.90
2015-03-18 00:00:00.0,0.0,53.90,11.20
2015-03-19 00:00:00.0,0.0,66.50,11.90
2015-03-20 00:00:00.0,0.0,79.00,10.50
2015-03-21 00:00:00.0,0.0,68.00,10.60
2015-03-22 00:00:00.0,0.0,75.10,10.40
2015-03-23 00:00:00.0,0.0,71.20,7.70
2015-03-24 00:00:00.0,1.2,70.30,7.80
2015-03-25 00:00:00.0,1.5,46.10,7.50
2015-03-26 00:00:00.0,5.0,31.10,10.10
2015-03-27 00:00:00.0,0.9,19.30,11.90
2015-03-28 00:00:00.0,0.0,23.40,10.80
2015-03-29 00:00:00.0,0.8,33.80,11.40
2015-03-30 00:00:00.0,0.0,29.80,12.40
2015-03-31 00:00:00.0,0.0,35.20,12.30
2015-04-01 00:00:00.0,0.0,46.80,12.90
2015-04-02 00:00:00.0,0.0,38.40,15.30
2015-04-03 00:00:00.0,0.0,54.00,13.50
2015-04-04 00:00:00.0,0.0,55.00,11.70
2015-04-05 00:00:00.0,0.0,39.10,15.20
2015-04-06 00:00:00.0,0.0,41.40,14.60
2015-04-07 00:00:00.0,0.0,31.60,16.10
2015-04-08 00:00:00.0,0.0,33.70,16.00
2015-04-09 00:00:00.0,9.2,28.50,12.20
2015-04-10 00:00:00.0,0.9,29.80,11.20
2015-04-11 00:00:00.0,0.0,31.90,12.60
2015-04-12 00:00:00.0,0.0,42.30,16.20
2015-04-13 00:00:00.0,0.0,42.80,19.50
2015-04-14 00:00:00.0,0.0,32.70,19.40
2015-04-15 00:00:00.0,6.7,20.20,14.40
2015-04-16 00:00:00.0,5.3,40.60,12.10
2015-04-17 00:00:00.0,15.7,41.80,10.40
2015-04-18 00:00:00.0,3.0,39.10,10.30
2015-04-19 00:00:00.0,0.0,30.00,10.40
2015-04-20 00:00:00.0,0.0,36.10,13.60
2015-04-21 00:00:00.0,1.8,37.20,16.20
2015-04-22 00:00:00.0,1.4,35.90,12.80
2015-04-23 00:00:00.0,0.0,36.00,13.00
2015-04-24 00:00:00.0,6.7,41.70,12.70
2015-04-25 00:00:00.0,15.9,63.40,13.00
2015-04-26 00:00:00.0,11.7,36.30,12.70
2015-04-27 00:00:00.0,0.0,37.20,12.00
2015-04-28 00:00:00.0,0.0,30.70,11.40
2015-04-29 00:00:00.0,0.0,32.10,12.10
2015-04-30 00:00:00.0,14.1,65.40,13.60
2015-05-01 00:00:00.0,18.1,50.50,14.70
2015-05-02 00:00:00.0,18.5,73.50,14.60
2015-05-03 00:00:00.0,7.9,50.80,15.60
2015-05-04 00:00:00.0,38.3,82.30,14.40
2015-05-05 00:00:00.0,2.9,50.90,11.00
2015-05-06 00:00:00.0,0.9,29.10,11.80
2015-05-07 00:00:00.0,3.9,49.40,13.70
2015-05-08 00:00:00.0,5.9,53.20,13.90
2015-05-09 00:00:00.0,0.0,31.80,15.40
2015-05-10 00:00:00.0,0.0,27.90,15.40
2015-05-11 00:00:00.0,0.0,24.60,17.40
2015-05-12 00:00:00.0,0.0,44.70,17.30
2015-05-13 00:00:00.0,0.0,40.60,16.00
2015-05-14 00:00:00.0,1.7,43.70,13.10
2015-05-15 00:00:00.0,0.0,40.60,12.90
2015-05-16 00:00:00.0,0.0,52.20,15.80
2015-05-17 00:00:00.0,0.0,43.50,17.70
2015-05-18 00:00:00.0,0.0,53.60,13.60
2015-05-19 00:00:00.0,0.0,45.20,11.20
2015-05-20 00:00:00.0,0.0,44.30,11.40
2015-05-21 00:00:00.0,0.0,48.70,13.00
2015-05-22 00:00:00.0,0.0,62.90,13.30
2015-05-23 00:00:00.0,0.0,63.40,14.70
2015-05-24 00:00:00.0,0.0,59.70,15.80
2015-05-25 00:00:00.0,0.0,58.00,15.80
2015-05-26 00:00:00.0,0.0,53.70,16.10
